Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
renault,duster,2025.0,tce turbo iconic xtronic,Gris plata,Nafta,5.0,automatica,1.3,1,0.0,22560.0,concesionaria,155.0,4x4
dodge,journey,2013.0,sxt techo dvd nav,Rojo,Nafta,5.0,automatica,2.4,0,140000.0,12000.0,particular,170.0,4x4
bmw,x1,2016.0,25i xline,Negro,Nafta,5.0,manual,2.0,1,135000.0,28900.0,particular,231.0,4x4
ford,kuga,2013.0,titanium,Gris plata,Nafta,5.0,automatica,2.5,0,141000.0,14319.0,concesionaria,110.0,4x4
peugeot,2008,2025.0,active,Plateado,Nafta,5.0,manual,1.6,1,999.0,27200.0,concesionaria,120.0,4x2
jeep,renegade,2018.0,sport,Negro,Nafta,5.0,manual,1.8,1,82900.0,18240.0,concesionaria,170.0,4x2
honda,hrv,2020.0,ex,Blanco,Nafta,5.0,automatica,1.8,1,77000.0,27500.0,concesionaria,154.0,4x2
toyota,rav4,2012.0,,Negro,Nafta,5.0,automatica,2.4,0,214400.0,14900.0,particular,257.0,4x2
citroen,c3aircross,2025.0,shine turbo 200 bitono,Blanco,Nafta,5.0,automatica,1.0,1,0.0,14400.0,tienda,120.0,4x2
ford,ecosport,2021.0,se,Plateado,Nafta,5.0,manual,1.5,1,78281.0,19040.0,concesionaria,123.0,4x2
jeep,grandcherokee,2013.0,overland,Gris plata,Nafta,5.0,automatica,3.6,1,88000.0,28900.0,concesionaria,286.0,4x4
toyota,corollacross,2024.0,seg ecvt,Blanco,Híbrido,5.0,automatica,1.8,1,0.0,44000.0,concesionaria,170.0,4x2
volvo,xc60,2024.0,t8 plug in,Gris plata,Híbrido,5.0,automatica,2.0,0,0.0,114900.0,concesionaria,462.0,4x4
fiat,pulse,2025.0,drive gse,Negro,Nafta,5.0,automatica,1.3,1,1111.0,27404.0,particular,110.0,4x2
jeep,compass,2025.0,t270 series,CARBON BLACK,Nafta,5.0,automatica,1.3,1,0.0,36560.0,concesionaria,272.0,4x2
peugeot,2008,2025.0,allure,Gris plata,Nafta,5.0,automatica,1.0,1,0.0,31840.0,concesionaria,120.0,4x2
hyundai,grandsantafe,2016.0,crdi premium gps,Blanco,Diésel,5.0,automatica,2.2,0,130000.0,31500.0,concesionaria,110.0,4x2
peugeot,2008,2024.0,gt,Blanco,Nafta,5.0,automatica,1.0,1,0.0,32464.0,tienda,120.0,4x2
toyota,corollacross,2022.0,seg ecvt,Blanco,Nafta,5.0,automatica,2.0,1,45000.0,33000.0,particular,170.0,4x2
citroen,c4cactus,2023.0,feel pack plus,Gris plata,Nafta,5.0,manual,1.6,0,16000.0,19592.0,particular,165.0,4x2
peugeot,2008,2018.0,thp sport,Plateado,Nafta,5.0,manual,1.6,1,91900.0,13600.0,particular,120.0,4x2
ford,ecosport,2014.0,se,Negro,Nafta,5.0,manual,1.6,0,121000.0,12000.0,particular,110.0,4x2
honda,crv,2010.0,lx,Plateado,Nafta,5.0,automatica,2.4,0,167000.0,13200.0,particular,185.0,4x2
renault,koleos,2012.0,expression,Negro,Nafta,5.0,manual,2.5,0,122300.0,11040.0,particular,110.0,4x2
hyundai,tucson,2017.0,premium,Gris plata,Nafta,5.0,automatica,2.0,1,100700.0,26000.0,particular,154.0,4x2
bmw,x3,2025.0,m50,Blanco,Nafta,5.0,manual,3.0,1,0.0,137900.0,tienda,398.0,4x4
fiat,pulse,2025.0,impetus t3,Gris plata,Nafta,5.0,automatica,1.0,1,0.0,25520.0,tienda,110.0,4x2
